Langauge,Code,uganda,ethio,kenya,sa,glotto_code,lang_family_auto,lang_family_auto_code,lang_family_manual,lang_family_manual_code
Acholi,1,1,0,0,0,acol1236,Nilotic,11,Nilo-Saharan,7
Adhola,2,1,0,0,0,adho1243,Nilotic,11,Nilo-Saharan,7
Afarigna,3,0,1,0,0,afar1241,Afro-Asiatic,1,Afro-Asiatic,1
Afrikaans,4,0,0,0,1,afri1274,Indo-European,7,Indo-European-Afrikaans,5
Alabigna or Kebenigna,5,0,1,0,0,alab1254,Afro-Asiatic,1,Afro-Asiatic,1
Alur,6,1,0,0,0,alur1250,Nilotic,11,Nilo-Saharan,7
Amba,7,1,0,0,0,amba1263,Atlantic-Congo,2,Atlantic-Congo,2
Amharic or Amarigna,8,0,1,0,0,amha1245,Afro-Asiatic,1,Afro-Asiatic,1
Anuakigna,9,0,1,0,0,anua1242,Nilotic,11,Nilo-Saharan,7
Arabic,10,1,1,1,1,stan1318,Afro-Asiatic,1,Afro-Asiatic,1
Argobigna,11,0,1,0,0,argo1244,Afro-Asiatic,1,Afro-Asiatic,1
Aringa,12,1,0,0,0,arin1244,Central Sudanic,3,Nilo-Saharan,7
Awigna,13,0,1,0,0,awng1244,Afro-Asiatic,1,Afro-Asiatic,1
Bari,14,1,0,0,0,bari1284,Nilotic,11,Nilo-Saharan,7
Birwa,15,0,0,0,1,birw1238,Atlantic-Congo,2,Atlantic-Congo,2
Borana,16,0,0,1,0,bora1271,Afro-Asiatic,1,Afro-Asiatic,1
Camtho,17,0,0,0,1,camt1236,Speech Register,NA,NA,NA
Chichony-Chidzihana-Chikauma or Kichonyi,18,0,0,1,0,chon1287,Atlantic-Congo,2,Atlantic-Congo,2
Chidigo or Kidigo,19,0,0,1,0,digo1243,Atlantic-Congo,2,Atlantic-Congo,2
Chiduruma or Kiduruma,20,0,0,1,0,duru1249,Atlantic-Congo,2,Atlantic-Congo,2
Chigiryama or Kigiryama,21,0,0,1,0,giry1241,Atlantic-Congo,2,Atlantic-Congo,2
Chijibana or Kijibana,22,0,0,1,0,jiba1245,Atlantic-Congo,2,Atlantic-Congo,2
